Date,Open,High,Low,Close,Volume_USD,Circulating_Supply_Est,Market_Cap_Est
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,18606800.0,859419309606.25
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,18607700.0,839910074106.6406
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,18608600.0,923567933370.3125
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,18609500.0,900308782419.9219
2021-03-03,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,18610400.0,940536902406.25
2021-03-04,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,18611300.0,903786465416.7969
2021-03-05,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,18612200.0,910644780304.6875
2021-03-06,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,18613100.0,910411072527.3438
2021-03-07,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,18614000.0,953161353835.9375
2021-03-08,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,18614900.0,972563809136.7188
2021-03-09,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,18615800.0,1020594800739.0625
2021-03-10,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,18616700.0,1042694387329.2969
2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,18617600.0,1076192622475.0
2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,18618500.0,1067437514755.8594
2021-03-13,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814,18619400.0,1140309514304.6875
2021-03-14,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,18620300.0,1104226922179.2969
2021-03-15,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890,18621200.0,1041059138092.1875
2021-03-16,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599,18622100.0,1057826571935.5469
2021-03-17,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191,18623000.0,1096352668855.4688
2021-03-18,58893.078125,60116.25,54253.578125,57858.921875,55746041000,18623900.0,1077558775107.8125
2021-03-19,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786,18624800.0,1086694730571.875
2021-03-20,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222,18625700.0,1086132448945.7031
2021-03-21,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,18626600.0,1071465769896.875
2021-03-22,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974,18627500.0,1015741639755.8594
2021-03-23,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914,18628400.0,1019698968859.375
2021-03-24,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787,18629300.0,983147626607.8125
2021-03-25,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841,18630200.0,963258844542.9688
2021-03-26,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978,18631100.0,1027268782918.75
2021-03-27,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233,18632000.0,1042898470343.75
2021-03-28,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,18632900.0,1042524656890.2344
2021-03-29,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027,18633800.0,1076105662202.3438
2021-03-30,57750.1328125,59447.22265625,57251.55078125,58917.69140625,54414116432,18634700.0,1097913504048.0469
2021-03-31,58930.27734375,59930.02734375,57726.41796875,58918.83203125,65520826225,18635600.0,1097987786201.5625
2021-04-01,58926.5625,59586.0703125,58505.27734375,59095.80859375,61669163792,18636500.0,1101339036857.4219
2021-04-02,59098.87890625,60267.1875,58869.28125,59384.3125,58727860620,18637400.0,1106769185787.5
2021-04-03,59397.41015625,60110.26953125,57603.890625,57603.890625,59641344484,18638300.0,1073638594635.9375
2021-04-04,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970,18639200.0,1095212452531.25
2021-04-05,58760.875,59891.296875,57694.82421875,59057.87890625,60706272115,18640100.0,1100844768600.3906
2021-04-06,59171.93359375,59479.578125,57646.80859375,58192.359375,66058027988,18641000.0,1084763771109.375
2021-04-07,58186.5078125,58731.14453125,55604.0234375,56048.9375,75645303584,18641900.0,1044858687981.25
2021-04-08,56099.9140625,58338.73828125,55879.0859375,58323.953125,53053855641,18642800.0,1087321793318.75
2021-04-09,58326.5625,58937.046875,57807.86328125,58245.00390625,46655208546,18643700.0,1085902379326.9531
2021-04-10,58253.77734375,61276.6640625,58038.70703125,59793.234375,58238470525,18644600.0,1114820937628.125
2021-04-11,59846.23046875,60790.5546875,59289.796875,60204.96484375,46280252580,18645500.0,1122551671994.1406
2021-04-12,60175.9453125,61253.03515625,59589.875,59893.453125,51828688519,18646400.0,1116797284350.0
2021-04-13,59890.01953125,63742.28515625,59869.95703125,63503.45703125,69983454362,18647300.0,1184168014298.8281
2021-04-14,63523.75390625,64863.09765625,61554.796875,63109.6953125,77451779687,18648200.0,1176882220126.5625
2021-04-15,63075.1953125,63821.671875,62208.96484375,63314.01171875,60954381579,18649100.0,1180749335944.1406
2021-04-16,63258.50390625,63594.72265625,60222.53125,61572.7890625,84293007468,18650000.0,1148332516015.625
2021-04-17,61529.921875,62572.17578125,60361.3515625,60683.8203125,66138759198,18650900.0,1131807864266.4062
2021-04-18,60701.88671875,61057.45703125,52829.53515625,56216.18359375,97468872758,18651800.0,1048533013153.9062
2021-04-19,56191.5859375,57520.0546875,54368.59375,55724.265625,65344865159,18652700.0,1039408009423.4375
2021-04-20,55681.79296875,57062.1484375,53448.046875,56473.03125,67849323955,18653600.0,1053425335725.0
2021-04-21,56471.12890625,56757.97265625,53695.46875,53906.08984375,54926612466,18654500.0,1005591152990.2344
2021-04-22,53857.10546875,55410.23046875,50583.8125,51762.2734375,74798630778,18655400.0,965645915885.9375
2021-04-23,51739.80859375,52120.79296875,47714.6640625,51093.65234375,86668667320,18656300.0,953218506220.7031
2021-04-24,51143.2265625,51167.5625,48805.28515625,50050.8671875,49014494781,18657200.0,933809039290.625
2021-04-25,50052.83203125,50506.01953125,47159.484375,49004.25390625,46117114240,18658100.0,914326269808.2031
2021-04-26,49077.79296875,54288.00390625,48852.796875,54021.75390625,58284039825,18659000.0,1007991906136.7188
2021-04-27,54030.3046875,55416.96484375,53319.1875,55033.1171875,49448222757,18659900.0,1026912463407.0312
2021-04-28,55036.63671875,56227.20703125,53887.91796875,54824.703125,48000572955,18660800.0,1023072820075.0
2021-04-29,54858.08984375,55115.84375,52418.02734375,53555.109375,46088929780,18661700.0,999429384623.4375
2021-04-30,53568.6640625,57900.71875,53129.6015625,57750.17578125,52395931985,18662600.0,1077768430535.1562
2021-05-01,57714.6640625,58448.33984375,57052.2734375,57828.05078125,42836427360,18663500.0,1079273825755.8594
2021-05-02,57825.86328125,57902.59375,56141.90625,56631.078125,38177405335,18664400.0,1056985094556.25
2021-05-03,56620.2734375,58973.30859375,56590.87109375,57200.29296875,51713139031,18665300.0,1067660628349.6094
2021-05-04,57214.1796875,57214.1796875,53191.42578125,53333.5390625,68564706967,18666200.0,995534506848.4375
2021-05-05,53252.1640625,57911.36328125,52969.0546875,57424.0078125,69241316747,18667100.0,1071939696236.7188
2021-05-06,57441.30859375,58363.31640625,55382.5078125,56396.515625,69523285106,18668000.0,1052810153687.5
2021-05-07,56413.953125,58606.6328125,55321.84765625,57356.40234375,68434023376,18668900.0,1070780939715.2344
2021-05-08,57352.765625,59464.61328125,56975.2109375,58803.77734375,65382980634,18669800.0,1097854762252.3438
2021-05-09,58877.390625,59210.8828125,56482.00390625,58232.31640625,65906690347,18670700.0,1087238109926.1719
2021-05-10,58250.87109375,59519.35546875,54071.45703125,55859.796875,71776546298,18671600.0,1042991783331.25
2021-05-11,55847.2421875,56872.54296875,54608.65234375,56704.57421875,61308396325,18672500.0,1058816162099.6094
2021-05-12,56714.53125,57939.36328125,49150.53515625,49150.53515625,75215403907,18673400.0,917807603186.7188
2021-05-13,49735.43359375,51330.84375,46980.01953125,49716.19140625,96721152926,18674300.0,928415073177.7344
2021-05-14,49682.98046875,51438.1171875,48868.578125,49880.53515625,55737497453,18675200.0,931528970150.0
2021-05-15,49855.49609375,50639.6640625,46664.140625,46760.1875,59161047474,18676100.0,873297937768.75
2021-05-16,46716.63671875,49720.04296875,43963.3515625,46456.05859375,64047871555,18677000.0,867659806355.4688
2021-05-17,46415.8984375,46623.55859375,42207.2890625,43537.51171875,74903638450,18677900.0,813189290131.6406
2021-05-18,43488.05859375,45812.45703125,42367.83203125,42909.40234375,56187365084,18678800.0,801496144498.4375
2021-05-19,42944.9765625,43546.1171875,30681.49609375,37002.44140625,126358098747,18679700.0,691194504736.3281
2021-05-20,36753.66796875,42462.984375,35050.6171875,40782.73828125,88281943359,18680600.0,761846020736.7188
2021-05-21,40596.94921875,42172.171875,33616.453125,37304.69140625,82051616861,18681500.0,696907592505.8594
2021-05-22,37371.03125,38831.0546875,35383.68359375,37536.6328125,57377273240,18682400.0,701274388856.25
2021-05-23,37531.44921875,38289.21875,31227.33984375,34770.58203125,78469274361,18683300.0,649629215264.4531
2021-05-24,34700.36328125,39835.140625,34551.08203125,38705.98046875,67359584098,18684200.0,723190280274.2188
2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,56211915803,18685100.0,717549370554.2969
2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,51346735160,18686000.0,734251406601.5625
2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,43210968721,18686900.0,718267791334.375
2021-05-28,38507.08203125,38856.96875,34779.0390625,35697.60546875,55200191952,18687800.0,667109711478.9062
2021-05-29,35684.15625,37234.5,33693.9296875,34616.06640625,45231013335,18688700.0,646929280246.4844
2021-05-30,34607.40625,36400.66796875,33520.73828125,35678.12890625,31646080921,18689600.0,666809958006.25
2021-05-31,35658.59375,37468.25,34241.9453125,37332.85546875,39009847639,18690500.0,697769735138.6719
2021-06-01,37293.79296875,37896.734375,35787.0859375,36684.92578125,34639423297,18691400.0,685692621747.6562
2021-06-02,36699.921875,38231.33984375,35966.30859375,37575.1796875,33070867190,18692300.0,702366531272.6562
2021-06-03,37599.41015625,39478.953125,37243.97265625,39208.765625,35460750427,18693200.0,732937297581.25
2021-06-04,39242.484375,39242.484375,35717.72265625,36894.40625,41831090187,18694100.0,689707719878.125
2021-06-05,36880.15625,37917.71484375,34900.4140625,35551.95703125,35959473399,18695000.0,664643836699.2188
2021-06-06,35538.609375,36436.421875,35304.578125,35862.37890625,28913440585,18695900.0,670479449793.3594
2021-06-07,35835.265625,36790.5703125,33480.640625,33560.70703125,33683936663,18696800.0,627477827221.875
2021-06-08,33589.51953125,34017.38671875,31114.443359375,33472.6328125,49902050442,18697700.0,625861246538.2812
2021-06-09,33416.9765625,37537.37109375,32475.865234375,37345.12109375,53972919008,18698600.0,698301481283.5938
2021-06-10,37389.515625,38334.32421875,35847.59375,36702.59765625,43576032854,18699500.0,686320224873.0469
2021-06-11,36697.03125,37608.6953125,36044.44921875,37334.3984375,38699736985,18700400.0,698168184540.625
2021-06-12,37340.14453125,37408.92578125,34728.19140625,35552.515625,37924228550,18701300.0,664878260457.8125
2021-06-13,35555.7890625,39322.78125,34864.109375,39097.859375,40669112838,18702200.0,731215985603.125
2021-06-14,39016.96875,40978.36328125,38757.28515625,40218.4765625,43148914673,18703100.0,752210188996.0938
2021-06-15,40427.16796875,41295.26953125,39609.46875,40406.26953125,46420149185,18704000.0,755758865312.5
2021-06-16,40168.69140625,40516.77734375,38176.03515625,38347.0625,39211635100,18704900.0,717277969356.25
2021-06-17,38341.421875,39513.671875,37439.67578125,38053.50390625,37096670047,18705800.0,711821233369.5312
2021-06-18,38099.4765625,38187.26171875,35255.85546875,35787.24609375,36200887275,18706700.0,669461276501.9531
2021-06-19,35854.52734375,36457.796875,34933.0625,35615.87109375,31207279719,18707600.0,666287470073.4375
2021-06-20,35563.140625,36059.484375,33432.07421875,35698.296875,36664034054,18708500.0,667861587085.9375
2021-06-21,35641.14453125,35721.640625,31295.935546875,31676.693359375,52809038594,18709400.0,592651926737.8906
2021-06-22,31622.376953125,33292.453125,28893.62109375,32505.66015625,58964353058,18710300.0,608190653221.4844
2021-06-23,32515.71484375,34753.41015625,31772.6328125,33723.02734375,46317108925,18711200.0,630998309234.375
2021-06-24,33682.80078125,35228.8515625,32385.21484375,34662.4375,33123368116,18712100.0,648606996743.75
2021-06-25,34659.10546875,35487.24609375,31350.884765625,31637.779296875,40230904226,18713000.0,592037763982.4219
2021-06-26,31594.6640625,32637.587890625,30184.501953125,32186.27734375,38585385521,18713900.0,602330775583.2031
2021-06-27,32287.5234375,34656.12890625,32071.7578125,34649.64453125,35511640894,18714800.0,648461167473.4375
2021-06-28,34679.12109375,35219.890625,33902.07421875,34434.3359375,33892523752,18715700.0,644462701105.4688
2021-06-29,34475.55859375,36542.109375,34252.484375,35867.77734375,37901460044,18716600.0,671322841432.0312
2021-06-30,35908.38671875,36074.7578125,34086.15234375,35040.8359375,34059036099,18717500.0,655876846660.1562
